Date,Confirmed,Total Confirmed,Confirmed Deaths,Total Deaths,Male,Female,Unknown,Month
2020/03/20 00:00:00+00,126,683,0,3,241.0,189.0,7.0,March
2020/03/21 00:00:00+00,102,785,0,3,320.0,257.0,7.0,March
2020/03/22 00:00:00+00,121,906,1,4,393.0,311.0,8.0,March
2020/03/23 00:00:00+00,219,1125,2,6,460.0,369.0,7.0,March
2020/03/24 00:00:00+00,204,1329,1,7,534.0,431.0,0.0,March
2020/03/25 00:00:00+00,235,1564,2,9,642.0,522.0,0.0,March
2020/03/26 00:00:00+00,255,1819,10,19,753.0,630.0,0.0,March
2020/03/27 00:00:00+00,302,2121,3,22,879.0,760.0,6.0,March
2020/03/28 00:00:00+00,294,2415,14,36,1010.0,888.0,6.0,March
2020/03/29 00:00:00+00,200,2615,10,46,1140.0,1060.0,16.0,March
2020/03/30 00:00:00+00,295,2910,8,54,1240.0,1206.0,29.0,March
2020/03/31 00:00:00+00,325,3235,17,71,1321.0,1320.0,36.0,March
2020/04/01 00:00:00+00,212,3447,14,85,1494.0,1457.0,39.0,April
2020/04/02 00:00:00+00,402,3849,13,98,1661.0,1572.0,49.0,April
2020/04/03 00:00:00+00,424,4273,22,120,1752.0,1860.0,43.0,April
2020/04/04 00:00:00+00,331,4604,17,137,1909.0,2080.0,25.0,April
2020/04/05 00:00:00+00,390,4994,21,158,2072.0,2335.0,36.0,April
2020/04/06 00:00:00+00,370,5364,16,174,2235.0,2633.0,48.0,April
2020/04/07 00:00:00+00,345,5709,36,210,2594.0,2946.0,53.0,April
2020/04/08 00:00:00+00,365,6074,25,235,2757.0,3154.0,70.0,April
2020/04/09 00:00:00+00,500,6574,28,263,2923.0,3425.0,96.0,April
2020/04/10 00:00:00+00,480,7054,25,287,3211.0,3788.0,72.0,April
2020/04/11 00:00:00+00,553,8928,33,320,3489.0,4212.0,86.0,April
2020/04/12 00:00:00+00,430,9655,14,334,3783.0,4616.0,97.0,April
2020/04/13 00:00:00+00,527,10647,31,365,4225.0,5115.0,144.0,April
2020/04/14 00:00:00+00,548,11479,41,406,4617.0,5629.0,139.0,April
2020/04/15 00:00:00+00,657,12547,38,444,5021.0,6140.0,100.0,April
2020/04/16 00:00:00+00,629,13271,43,486,5536.0,6778.0,111.0,April
2020/04/17 00:00:00+00,597,13980,44,530,5773.0,7117.0,122.0,April
2020/04/18 00:00:00+00,630,14758,41,571,6048.0,7568.0,130.0,April
2020/04/19 00:00:00+00,445,15251,39,610,6397.0,8060.0,145.0,April
2020/04/20 00:00:00+00,401,15652,77,687,6603.0,8433.0,149.0,April
2020/04/21 00:00:00+00,388,16040,44,730,6708.0,8595.0,161.0,April
